Model,error_value
doc2vec,32.64170541
doc2vec,32.5848254
doc2vec,32.87417153
doc2vec,32.40923929
doc2vec,32.90879414
doc2vec,32.77606034
doc2vec,32.77439778
doc2vec,32.53450067
doc2vec,32.45288618
doc2vec,32.96235841
word2vectfidf,35.7280641
word2vectfidf,35.65634583
word2vectfidf,35.88139282
word2vectfidf,35.69344149
word2vectfidf,35.99267979
word2vectfidf,35.84271052
word2vectfidf,35.70509967
word2vectfidf,35.70015334
word2vectfidf,35.62843152
word2vectfidf,35.99446011
word2vec,36.34137897
word2vec,36.29439114
word2vec,36.63319814
word2vec,36.35869028
word2vec,36.46255812
word2vec,36.34475083
word2vec,36.40995202
word2vec,36.39758619
word2vec,36.18736707
word2vec,36.41984469
